no,group,title,slug,category,description,body_file,eyecatch_file
13,"investment-reading","中期経営計画の見方｜会社計画の前提と達成条件を読む","medium-term-plan-guide","投資の読み方","中期経営計画を読むときに確認したい売上目標、利益目標、投資計画、ROE、株主還元、達成条件の見方を、企業分析の入口として整理します。","bodies/investment-reading/medium-term-plan-guide.html","eyecatch/investment-reading/medium-term-plan-guide.png"
14,"investment-reading","価格転嫁とは何か｜コスト増を利益に反映できる会社を読む","price-pass-through-guide","投資の読み方","価格転嫁の基本、原材料高・人件費・物流費・為替が利益率に与える影響、転嫁できる企業とできない企業の見方を整理します。","bodies/investment-reading/price-pass-through-guide.html","eyecatch/investment-reading/price-pass-through-guide.png"
15,"investment-reading","進捗率の見方｜会社予想に対して決算が順調かを読む","earnings-progress-rate-guide","投資の読み方","決算の進捗率を読むときに確認したい会社予想、季節性、前年同期、上方修正・下方修正、次に見るKPIを整理します。","bodies/investment-reading/earnings-progress-rate-guide.html","eyecatch/investment-reading/earnings-progress-rate-guide.png"
16,"investment-reading","のれんと減損の見方｜M&A後の利益リスクを読む","goodwill-impairment-guide","投資の読み方","のれんと減損の基本、M&A後に確認したい利益貢献、回収可能性、減損リスクの見方を、企業分析の入口として整理します。","bodies/investment-reading/goodwill-impairment-guide.html","eyecatch/investment-reading/goodwill-impairment-guide.png"
17,"investment-reading","配当性向と総還元性向の見方｜株主還元の余力を読む","payout-ratio-total-return-guide","投資の読み方","配当性向、総還元性向、自社株買い、DOEの基本と、企業分析で株主還元の持続性をどう見るかを整理します。","bodies/investment-reading/payout-ratio-total-return-guide.html","eyecatch/investment-reading/payout-ratio-total-return-guide.png"
18,"investment-reading","自己資本比率と有利子負債の見方｜財務安全性を読む","equity-ratio-interest-bearing-debt-guide","投資の読み方","自己資本比率、有利子負債、ネットキャッシュ、ネットD/Eレシオの基本と、企業分析で財務安全性をどう見るかを整理します。","bodies/investment-reading/equity-ratio-interest-bearing-debt-guide.html","eyecatch/investment-reading/equity-ratio-interest-bearing-debt-guide.png"
19,"theme-reading","エネルギー転換と電力投資｜送配電・蓄電・設備投資へどう広がるか","energy-transition-power-investment","テーマの読み方","エネルギー転換、電力需要、再エネ、送配電、蓄電池、データセンター投資が、電力会社、重電、電線、建設、空調、制御システムへどう波及するかを整理します。","bodies/theme-reading/energy-transition-power-investment.html","eyecatch/theme-reading/energy-transition-power-investment.png"
20,"theme-reading","人手不足と省力化投資｜自動化・IT・外注需要へどう広がるか","labor-shortage-automation-investment","テーマの読み方","人手不足や賃上げが、外食、小売、物流、建設、製造のコストにどう効き、省力化機械、IT、ロボット、アウトソーシング需要へどう波及するかを整理します。","bodies/theme-reading/labor-shortage-automation-investment.html","eyecatch/theme-reading/labor-shortage-automation-investment.png"
21,"theme-reading","値上げと消費者需要｜客数・客単価・数量減をどう読むか","price-hike-consumer-demand","テーマの読み方","値上げや価格転嫁が、外食、小売、食品、日用品、サービス企業の売上、客数、客単価、数量、粗利率、販促費にどう影響するかを整理します。","bodies/theme-reading/price-hike-consumer-demand.html","eyecatch/theme-reading/price-hike-consumer-demand.png"
22,"theme-reading","インバウンド需要の読み方｜訪日客・免税・ホテル・鉄道へどう広がるか","inbound-demand-company-impact","テーマの読み方","インバウンド需要が、百貨店、免税、小売、ホテル、鉄道、外食、空港関連企業の売上、客数、客単価、稼働率、利益率にどう影響するかを整理します。","bodies/theme-reading/inbound-demand-company-impact.html","eyecatch/theme-reading/inbound-demand-company-impact.png"
23,"theme-reading","防衛・安全保障投資の読み方｜防衛費・装備品・IT・造船へどう広がるか","defense-security-investment-theme","テーマの読み方","防衛費や安全保障投資が、装備品、部材、造船、航空、通信、IT、宇宙関連企業の受注、受注残、売上計上、利益率にどう影響するかを整理します。","bodies/theme-reading/defense-security-investment-theme.html","eyecatch/theme-reading/defense-security-investment-theme.png"
